id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
66jbax,-0.4389,0.0,0.243,0.757,0.15005742,0.026723364,0.82321924,0.12333406,-0.1577829711854458
66odiv,0.8585,0.345,0.0,0.655,0.04996943,0.019351896,0.93067867,0.030617535,0.4445587675571442
66tuqz,0.0,0.0,0.0,1.0,0.041256003,0.116558485,0.84218556,-0.07530248,-0.037651240825653076
673lix,0.743,0.387,0.0,0.613,0.05886664,0.017624587,0.92350876,0.041242052,0.3921210259348154
673mwx,0.0,0.0,0.0,1.0,0.03187991,0.03763446,0.9304856,-0.005754549,-0.00287727452814579
67bbnd,-0.9307,0.053,0.132,0.816,0.029022692,0.5066221,0.46435523,-0.47759938,-0.7041496912002563
67htvh,-0.6345,0.125,0.129,0.746,0.018192723,0.74019426,0.24161309,-0.72200155,-0.6782507762908936
67mytr,0.972,0.085,0.038,0.877,0.02437644,0.058256887,0.9173666,-0.033880446,0.46905977694690226
67ttx3,0.9319,0.097,0.0,0.903,0.017845945,0.043708418,0.9384456,-0.025862472,0.4530187639340758
6811ru,-0.7223,0.025,0.06,0.915,0.051000644,0.041167375,0.9078321,0.009833269,-0.3562333655893803
681d7w,0.967,0.125,0.0,0.875,0.021888044,0.0368432,0.94126874,-0.014955156,0.4760224222242832
684apc,0.0,0.0,0.0,1.0,0.23388308,0.16313739,0.6029795,0.07074569,0.03537284582853317
68e2p0,0.9319,0.096,0.0,0.904,0.018239433,0.039809577,0.94195104,-0.021570144,0.45516492788940666
68eluw,-0.1531,0.0,0.071,0.929,0.033208165,0.3192334,0.6475584,-0.28602523,-0.21956261305809022
68fu0x,0.25,0.074,0.0,0.926,0.19272579,0.007808032,0.79946613,0.18491776,0.21745888143777847
68kay4,-0.4767,0.0,0.341,0.659,0.008752036,0.9333257,0.057922263,-0.92457366,-0.7006368299484254
68n6lq,-0.2023,0.0,0.058,0.942,0.0693234,0.018545482,0.9121312,0.050777916,-0.07576104206740857
68p039,0.6739,0.151,0.036,0.813,0.05380688,0.5419776,0.40421554,-0.4881707,0.09286464340686801
68z0zy,-0.2187,0.065,0.064,0.871,0.054751243,0.15049182,0.79475695,-0.09574057,-0.15722028580904007
695tno,0.9319,0.096,0.0,0.904,0.018221594,0.03997096,0.9418075,-0.021749366,0.45507531696259973
697fer,0.466,0.08,0.067,0.854,0.1353456,0.08389811,0.7807563,0.05144748,0.25872374045848845
69mugf,0.6239,0.506,0.0,0.494,0.13532184,0.012800425,0.85187775,0.122521415,0.3732107076764107
69n8z9,0.6363,0.146,0.043,0.81,0.034500126,0.6460517,0.3194482,-0.6115516,0.012374208593368519
69zhw4,-0.4588,0.0,0.176,0.824,0.016437162,0.73133814,0.2522247,-0.714901,-0.5868504852294922
6a24et,0.5574,0.054,0.0,0.946,0.045154657,0.028798338,0.926047,0.01635632,0.28687815959453583
6akjgb,0.7574,0.351,0.0,0.649,0.5407102,0.015730146,0.44355968,0.52498007,0.6411900341033936
6az4sx,0.8439,0.099,0.048,0.853,0.035606883,0.32930428,0.63508886,-0.2936974,0.2751013065099716
6b05mj,0.6369,0.172,0.0,0.828,0.0730186,0.020092191,0.9068892,0.052926414,0.34491320685744287
6b2sgn,0.5562,0.277,0.0,0.723,0.045376766,0.022786297,0.93183696,0.02259047,0.2893952347844839
6b3oq0,0.0,0.0,0.0,1.0,0.043868054,0.07733586,0.87879604,-0.033467803,-0.01673390157520771
6b4xc0,0.9889,0.142,0.058,0.8,0.024298517,0.18536857,0.7903329,-0.16107005,0.41391497559547424
6b9a2a,0.9217,0.087,0.01,0.903,0.019764991,0.033676717,0.9465583,-0.013911726,0.4538941370233893
